customer_id,name,register_date,loyalty_member,customer_category,preferred_branch,preferred_city,visits_last_year,avg_spend,estimated_total_spend,loyalty_points,last_visit,satisfaction_score,nps_score,survey_comment,acquisition_channel,accepts_promotions
CLI-00001,María Díaz,2025-09-23,True,VIP,Monterrey,Monterrey,20,283.41,5668.2,566.0,2026-01-15,4,9,"Excelente comida, muy auténtica",Recomendación,True
CLI-00002,Gabriela Ramírez,2024-12-28,False,Regular,Cancún,Cancún,4,257.47,1029.88,0.0,2026-01-19,3,6,"Servicio normal, sin quejas",Recomendación,True
CLI-00003,Sandra Ortiz,2025-12-30,False,Regular,Ciudad de México Sur,Ciudad de México,3,223.11,669.33,0.0,2026-01-01,5,7,El servicio fue muy rápido y amable,Redes Sociales,False
CLI-00004,Roberto Hernández,2024-08-08,True,VIP,Mérida,Mérida,15,240.45,3606.75,360.0,2025-11-24,5,10,El servicio fue muy rápido y amable,Recomendación,True
CLI-00005,Mónica Ramírez,2025-07-06,False,Ocasional,Querétaro,Querétaro,2,259.44,518.88,0.0,2025-12-13,5,8,"Siempre regreso, nunca decepciona",Redes Sociales,True
CLI-00006,Roberto García,2025-07-20,False,Ocasional,León,León,2,201.31,402.62,0.0,2026-01-13,5,9,El servicio fue muy rápido y amable,Ubicación,True
CLI-00007,Sandra Pérez,2024-11-30,False,Ocasional,Querétaro,Querétaro,1,193.57,193.57,0.0,2025-12-07,4,7,"Siempre regreso, nunca decepciona",Redes Sociales,False
CLI-00008,Ricardo Pérez,2025-10-26,True,VIP,León,León,20,407.51,8150.2,815.0,2026-01-02,4,10,Recomiendo ampliamente este lugar,Google,True
CLI-00009,Alejandro Gómez,2025-11-26,False,Regular,Querétaro,Querétaro,4,225.76,903.04,0.0,2025-12-05,4,8,"Excelente comida, muy auténtica",Publicidad,True
CLI-00010,Claudia García,2024-11-03,False,Frecuente,Querétaro,Querétaro,11,206.36,2269.96,0.0,2026-01-31,5,9,"Siempre regreso, nunca decepciona",Google,False
CLI-00011,Juan González,2025-09-05,False,Frecuente,León,León,9,271.6,2444.4,0.0,2025-11-17,3,5,"Ni bueno ni malo, regular",Redes Sociales,True
CLI-00012,Sandra Ortiz,2025-11-30,False,Ocasional,Querétaro,Querétaro,2,361.89,723.78,0.0,2025-11-11,5,9,Recomiendo ampliamente este lugar,Ubicación,True
CLI-00013,Sandra Díaz,2024-02-22,True,Frecuente,Ciudad de México Sur,Ciudad de México,6,258.64,1551.84,155.0,2026-01-14,4,9,Precios justos y porciones generosas,Recomendación,False
CLI-00014,Carlos Ramírez,2024-12-26,False,Ocasional,Cancún,Cancún,2,287.66,575.32,0.0,2026-01-22,2,4,El estacionamiento es muy pequeño,Recomendación,True
CLI-00015,Gabriela Díaz,2025-09-29,True,VIP,Puebla,Puebla,15,239.46,3591.9,359.0,2026-01-14,4,7,Los tacos al pastor son los mejores de la ciudad,Publicidad,True
CLI-00016,Ana Ramírez,2024-05-22,False,Ocasional,Querétaro,Querétaro,2,202.68,405.36,0.0,2026-01-04,4,7,Los tacos al pastor son los mejores de la ciudad,Redes Sociales,True
CLI-00017,Roberto Torres,2024-06-19,False,Frecuente,Tijuana,Tijuana,9,107.76,969.84,0.0,2025-11-19,5,9,El servicio fue muy rápido y amable,Recomendación,False
CLI-00018,Gabriela López,2025-09-29,False,Regular,Ciudad de México Centro,Ciudad de México,5,232.07,1160.35,0.0,2025-11-08,5,9,El mole es espectacular,Recomendación,True
CLI-00019,José González,2024-09-01,True,Frecuente,León,León,5,170.85,854.25,85.0,2026-01-26,2,4,La comida llegó fría,Redes Sociales,False
CLI-00020,Ricardo Ortiz,2025-04-24,True,VIP,Guadalajara,Guadalajara,23,252.56,5808.88,580.0,2026-01-21,5,9,Comida fresca y bien preparada,Recomendación,True
CLI-00021,Luis López,2025-08-26,False,Frecuente,Ciudad de México Centro,Ciudad de México,8,114.27,914.16,0.0,2026-01-10,4,8,Ambiente muy agradable para familia,Google,False
CLI-00022,María Cruz,2024-06-21,False,Regular,León,León,4,288.23,1152.92,0.0,2026-01-01,5,7,Personal muy atento y profesional,Redes Sociales,True
CLI-00023,Diana Gómez,2025-08-16,True,VIP,Tijuana,Tijuana,14,193.61,2710.54,271.0,2025-12-11,5,10,"Siempre regreso, nunca decepciona",Recomendación,False
CLI-00024,Gabriela Ramírez,2024-03-10,True,VIP,Ciudad de México Sur,Ciudad de México,18,201.87,3633.66,363.0,2025-11-15,5,10,Precios justos y porciones generosas,Redes Sociales,True
CLI-00025,Ana Gómez,2025-06-28,False,Regular,Puebla,Puebla,3,353.38,1060.14,0.0,2025-11-10,5,7,Recomiendo ampliamente este lugar,Google,False
CLI-00026,Patricia González,2025-10-21,False,Regular,Monterrey,Monterrey,4,138.33,553.32,0.0,2025-11-05,5,10,"Excelente comida, muy auténtica",Ubicación,True
CLI-00027,Miguel Ramírez,2025-09-11,False,Ocasional,León,León,1,374.29,374.29,0.0,2025-11-03,5,7,Ambiente muy agradable para familia,Redes Sociales,True
CLI-00028,Fernando Pérez,2024-12-21,False,Frecuente,Guadalajara,Guadalajara,11,280.81,3088.91,0.0,2025-12-21,5,10,El servicio fue muy rápido y amable,Redes Sociales,True
CLI-00029,Eduardo Ramírez,2025-06-05,False,Frecuente,Monterrey,Monterrey,11,326.7,3593.7,0.0,2025-12-13,4,9,Los tacos al pastor son los mejores de la ciudad,Recomendación,True
CLI-00030,Patricia Morales,2025-04-19,False,Frecuente,Puebla,Puebla,7,262.28,1835.96,0.0,2026-01-31,4,10,"Excelente comida, muy auténtica",Recomendación,True
CLI-00031,José Rodríguez,2024-11-05,False,Regular,Tijuana,Tijuana,5,324.09,1620.45,0.0,2026-01-17,5,9,Ambiente muy agradable para familia,Ubicación,True
CLI-00032,Roberto Hernández,2025-10-28,False,Frecuente,Ciudad de México Centro,Ciudad de México,8,249.71,1997.68,0.0,2025-11-17,3,6,"Ni bueno ni malo, regular",Google,True
CLI-00033,Patricia Reyes,2025-04-01,True,VIP,Puebla,Puebla,20,217.75,4355.0,435.0,2026-01-11,5,10,El mole es espectacular,Google,True
CLI-00034,Carlos García,2024-06-17,False,Frecuente,Mérida,Mérida,7,257.01,1799.07,0.0,2025-11-27,2,2,El lugar estaba muy ruidoso,Redes Sociales,True
CLI-00035,Claudia Cruz,2025-02-19,True,VIP,Ciudad de México Sur,Ciudad de México,13,215.36,2799.68,279.0,2025-12-11,4,7,Comida fresca y bien preparada,Publicidad,True
CLI-00036,Ana Sánchez,2024-04-14,False,Regular,Puebla,Puebla,4,430.68,1722.72,0.0,2025-11-19,2,5,El estacionamiento es muy pequeño,Ubicación,False
CLI-00037,Mónica Cruz,2024-10-30,True,VIP,Ciudad de México Centro,Ciudad de México,15,80.0,1200.0,120.0,2025-11-20,4,9,Comida fresca y bien preparada,Ubicación,True
CLI-00038,Miguel Hernández,2025-03-30,True,VIP,Puebla,Puebla,18,256.1,4609.8,460.0,2025-11-17,5,8,Precios justos y porciones generosas,Ubicación,True
CLI-00039,Diana Rivera,2025-04-27,True,VIP,Mérida,Mérida,24,331.73,7961.52,796.0,2025-12-21,5,7,Ambiente muy agradable para familia,Redes Sociales,False
CLI-00040,Claudia Morales,2025-05-14,False,Frecuente,Tijuana,Tijuana,6,254.77,1528.62,0.0,2025-12-07,4,7,Personal muy atento y profesional,Recomendación,False
CLI-00041,Ana González,2024-11-06,True,Frecuente,Ciudad de México Centro,Ciudad de México,11,303.61,3339.71,333.0,2025-11-24,4,7,Personal muy atento y profesional,Publicidad,True
CLI-00042,Sandra Reyes,2024-12-19,False,Regular,Monterrey,Monterrey,4,247.49,989.96,0.0,2026-01-19,3,5,"Servicio normal, sin quejas",Recomendación,True
CLI-00043,Luis Díaz,2025-06-02,True,VIP,Puebla,Puebla,23,300.31,6907.13,690.0,2026-01-20,4,9,Personal muy atento y profesional,Ubicación,False
CLI-00044,Diana López,2024-03-29,True,VIP,Puebla,Puebla,24,246.04,5904.96,590.0,2026-01-01,3,5,"Ni bueno ni malo, regular",Publicidad,True
CLI-00045,Roberto Ortiz,2024-11-07,True,VIP,Ciudad de México Centro,Ciudad de México,20,333.16,6663.2,666.0,2025-12-20,1,1,El lugar estaba muy ruidoso,Recomendación,True
CLI-00046,Luis Sánchez,2025-01-10,False,Ocasional,Puebla,Puebla,1,273.25,273.25,0.0,2025-12-17,3,6,Cumple con lo básico,Google,True
CLI-00047,Laura García,2025-06-19,False,Ocasional,León,León,1,408.6,408.6,0.0,2026-01-09,5,8,Precios justos y porciones generosas,Google,True
