customer_id,name,preferred_branch,preferred_city,customer_category,acquisition_channel,loyalty_member,accepts_promotions,loyalty_points,satisfaction_score,nps_score,recency_days,frequency,monetary,segment_id,persona
CLI-00001,María Díaz,Monterrey,Monterrey,VIP,Recomendación,1.0,1.0,566.0,4,9,16,20,5668.2,0,Leales Premium
CLI-00002,Gabriela Ramírez,Cancún,Cancún,Regular,Recomendación,0.0,1.0,0.0,3,6,12,4,1029.88,2,Ocasionales Sensibles a Promoción
CLI-00003,Sandra Ortiz,Ciudad de México Sur,Ciudad de México,Regular,Redes Sociales,0.0,0.0,0.0,5,7,30,3,669.33,1,Ocasionales Sensibles a Promoción
CLI-00004,Roberto Hernández,Mérida,Mérida,VIP,Recomendación,1.0,1.0,360.0,5,10,68,15,3606.75,0,Leales Premium
CLI-00005,Mónica Ramírez,Querétaro,Querétaro,Ocasional,Redes Sociales,0.0,1.0,0.0,5,8,49,2,518.88,1,Ocasionales Sensibles a Promoción
CLI-00006,Roberto García,León,León,Ocasional,Ubicación,0.0,1.0,0.0,5,9,18,2,402.62,1,Ocasionales Sensibles a Promoción
CLI-00007,Sandra Pérez,Querétaro,Querétaro,Ocasional,Redes Sociales,0.0,0.0,0.0,4,7,55,1,193.57,1,Ocasionales Sensibles a Promoción
CLI-00008,Ricardo Pérez,León,León,VIP,Google,1.0,1.0,815.0,4,10,29,20,8150.2,0,Leales Premium
CLI-00009,Alejandro Gómez,Querétaro,Querétaro,Regular,Publicidad,0.0,1.0,0.0,4,8,57,4,903.04,1,Ocasionales Sensibles a Promoción
CLI-00010,Claudia García,Querétaro,Querétaro,Frecuente,Google,0.0,0.0,0.0,5,9,0,11,2269.96,1,Ocasionales Sensibles a Promoción
CLI-00011,Juan González,León,León,Frecuente,Redes Sociales,0.0,1.0,0.0,3,5,75,9,2444.4,2,Ocasionales Sensibles a Promoción
CLI-00012,Sandra Ortiz,Querétaro,Querétaro,Ocasional,Ubicación,0.0,1.0,0.0,5,9,81,2,723.78,1,Ocasionales Sensibles a Promoción
CLI-00013,Sandra Díaz,Ciudad de México Sur,Ciudad de México,Frecuente,Recomendación,1.0,0.0,155.0,4,9,17,6,1551.84,1,Ocasionales Sensibles a Promoción
CLI-00014,Carlos Ramírez,Cancún,Cancún,Ocasional,Recomendación,0.0,1.0,0.0,2,4,9,2,575.32,2,Ocasionales Sensibles a Promoción
CLI-00015,Gabriela Díaz,Puebla,Puebla,VIP,Publicidad,1.0,1.0,359.0,4,7,17,15,3591.9,0,Leales Premium
CLI-00016,Ana Ramírez,Querétaro,Querétaro,Ocasional,Redes Sociales,0.0,1.0,0.0,4,7,27,2,405.36,1,Ocasionales Sensibles a Promoción
CLI-00017,Roberto Torres,Tijuana,Tijuana,Frecuente,Recomendación,0.0,0.0,0.0,5,9,73,9,969.84,1,Ocasionales Sensibles a Promoción
CLI-00018,Gabriela López,Ciudad de México Centro,Ciudad de México,Regular,Recomendación,0.0,1.0,0.0,5,9,84,5,1160.35,1,Ocasionales Sensibles a Promoción
